A01,,A02,,A03,,A04,,A05,,A06,,A07,,A08,,A09,,A10,
27.17714479,3003.819659,27.2182642,2924.214045,25.87269151,2682.149702,26.05284251,2655.531095,25.46132862,2616.805879,26.29406132,2612.390517,27.05553731,2666.067234,26.7167259,2593.608984,26.08405305,2792.795424,26.2034072,2751.548621
26.69639704,2951.842818,26.73843538,3010.251379,26.58140564,2784.07346,26.56130039,2801.876322,26.32654025,2717.153001,25.57658853,2631.501356,27.34267164,2848.321394,26.37296046,2597.717971,26.60103125,2957.083869,26.91278513,2878.6117
27.10817839,2885.281516,27.09869625,2831.672199,26.8338377,2943.869766,27.34505668,2924.021642,26.77506824,2726.873505,26.15579538,2448.385378,26.83754882,2812.202382,26.49937413,2480.062848,26.92964259,2913.908756,26.82996522,2885.471076
26.62585699,2876.359497,26.31180721,2985.840808,26.53045815,2715.35524,26.49835265,2825.614799,26.49770362,2688.150938,26.88243592,2517.094452,27.91291768,2999.798791,27.71071765,2497.720937,27.11738834,2857.150819,27.48598408,2829.745968
27.59968451,2856.808431,27.20434756,2815.19087,27.02190574,2929.655949,27.22532832,2932.206085,26.89252138,2763.610188,26.62735117,2404.935633,28.1747833,2902.249177,27.8009787,2531.812767,27.78526379,2894.170656,27.83427323,2879.897457
27.54126642,2926.941746,27.53516779,2872.440223,27.63415595,2979.317261,27.48016004,2978.004829,27.83173236,2735.764188,26.8064262,2477.608195,26.98417992,2859.380852,28.35954835,2697.167973,27.3546829,2972.734461,27.45053522,2927.588216
28.01751864,3092.714296,28.34392236,2997.798389,27.44876184,2995.217393,27.26286664,3031.342751,27.18037962,2857.530528,27.47791527,2519.295036,27.60480285,3089.173656,28.88943397,2563.658268,28.32550323,3064.707815,27.68137117,3131.413119
28.49516439,3113.52696,28.42310764,3013.572645,28.04810493,3068.82755,28.10621936,3006.835656,28.09031252,2748.250586,27.30011579,2677.803674,29.81122903,3137.264951,28.25917654,2712.035715,28.89529689,3100.026293,29.50252105,3128.941277
28.69237448,3066.284384,28.9771543,3059.650406,28.77801884,3090.096577,28.42053606,3129.19161,28.86306829,2867.762046,28.63042319,2636.199638,28.41897838,3168.203334,28.88581037,2665.865912,28.68063038,2991.242335,28.22715918,3013.683148
29.22358698,3096.85853,28.89697453,2991.030889,28.44461644,3146.029143,28.78706222,3086.466149,28.83784571,2806.063837,28.12155173,2916.627179,30.00382798,2989.556903,29.30225003,2575.3649,29.48197577,3111.280206,29.67040129,3045.334785
30.13230333,3199.072786,30.25376556,3208.940183,28.57238291,3184.273813,28.58086992,3159.71343,28.81282611,2849.833377,27.95459645,2896.003667,29.70851567,3086.83482,28.96565941,2570.095349,29.43478972,3092.841878,29.35151558,3101.790506
29.95963062,3214.50638,29.9680244,3214.511254,29.3528456,3241.099497,30.05397479,3218.252543,29.37985001,2907.976916,29.3888324,2900.450355,29.48058193,3122.31116,29.94082618,2811.802912,29.57595903,3140.448546,29.36637924,3094.155172
